ad_id,title,price,area_m2,address,city,district,ward,category,description,contact_name,phone,latitude,longitude,url,images,attributes,published_at,rooms,bathrooms,floor,furnished,furniture_type,building_name,balcony,parking,elevator,pets_allowed,air_conditioning,direction,apartment_type
123456,Căn hộ studio gần biển Sơn Trà,7500000,35,"Phường Phước Mỹ, Sơn Trà, Đà Nẵng",Đà Nẵng,Sơn Trà,Phước Mỹ,Cho thuê căn hộ,"Phòng mới, đầy đủ nội thất, đi bộ 5 phút tới biển. Khu vực yên tĩnh.",Mr. Tran,0909123456,16.064,108.241,https://www.chotot.com/123456.htm,"['https://images.chotot.com/studio_danang_1.jpg', 'https://images.chotot.com/studio_danang_2.jpg']","{'ward': 'Phước Mỹ', 'rooms': 1, 'furniture': 'full', 'balcony': True, 'air_conditioning': True}",2024-03-09T16:00:00,1,,,True,full,,True,,,,True,,studio
234567,Căn hộ 1 phòng ngủ Hải Châu,6000000,40,"Hải Châu, Đà Nẵng",Đà Nẵng,Hải Châu,,Cho thuê căn hộ,"Căn hộ trung tâm thành phố, gần chợ Hàn",Ms. Linh,0911234567,16.047,108.208,https://www.chotot.com/234567.htm,['https://images.chotot.com/apt_haichau_1.jpg'],"{'rooms': 1, 'floor': 3, 'furniture': 'partial', 'parking': True, 'elevator': False}",2024-03-10T05:53:20,1,,3,False,partial,,,True,,,,,
345678,Cho thuê căn hộ 2PN Vinhomes Ocean Park,12000000,70,"Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,,Cho thuê căn hộ,"Căn hộ cao cấp tại Vinhomes Ocean Park, đầy đủ tiện ích nội khu",Mr. Hùng,0981234567,21.013,105.931,https://www.chotot.com/345678.htm,"['https://images.chotot.com/vinhomes_1.jpg', 'https://images.chotot.com/vinhomes_2.jpg', 'https://images.chotot.com/vinhomes_3.jpg']","{'rooms': 2, 'bathrooms': 2, 'floor': 12, 'furniture': 'full', 'building_name': 'Vinhomes Ocean Park', 'balcony': True, 'parking': True, 'elevator': True, 'air_conditioning': True, 'direction': 'South'}",2024-03-10T19:46:40,2,2,12,True,full,Vinhomes Ocean Park,True,True,True,,True,South,
456789,Căn hộ 3PN The Sun Avenue Quận 2,18000000,95,"Thủ Đức, TP. Hồ Chí Minh",TP. Hồ Chí Minh,Thủ Đức,,Cho thuê căn hộ,"Căn 3PN tầng cao, view sông, full nội thất cao cấp. Khu vực An Phú.",Ms. Thảo,0903456789,10.799,106.737,https://www.chotot.com/456789.htm,"['https://images.chotot.com/sun_avenue_1.jpg', 'https://images.chotot.com/sun_avenue_2.jpg', 'https://images.chotot.com/sun_avenue_3.jpg', 'https://images.chotot.com/sun_avenue_4.jpg']","{'rooms': 3, 'bathrooms': 2, 'floor': 18, 'furniture': 'full', 'building_name': 'The Sun Avenue', 'balcony': True, 'parking': True, 'elevator': True, 'air_conditioning': True, 'direction': 'East', 'pets_allowed': True}",2024-03-11T09:40:00,3,2,18,True,full,The Sun Avenue,True,True,True,True,True,East,
567890,Cho thuê căn hộ 2PN Pearl Plaza Bình Thạnh,15000000,85,"Bình Thạnh, TP. Hồ Chí Minh",TP. Hồ Chí Minh,Bình Thạnh,,Cho thuê căn hộ,"Căn hộ cao cấp, view đẹp, đầy đủ tiện nghi. Gần Landmark 81.",Ms. Nguyen,0912345678,10.803,106.705,https://www.chotot.com/567890.htm,"['https://images.chotot.com/pearl1.jpg', 'https://images.chotot.com/pearl2.jpg', 'https://images.chotot.com/pearl3.jpg']","{'rooms': 2, 'bathrooms': 2, 'floor': 5, 'furniture': 'full', 'building_name': 'Pearl Plaza', 'balcony': True, 'parking': True, 'elevator': True, 'air_conditioning': True, 'direction': 'South', 'pets_allowed': False}",2024-03-10T19:46:40,2,2,5,True,full,Pearl Plaza,True,True,True,,True,South,
678901,Studio mini giá rẻ gần ĐH Bách Khoa,4500000,25,"Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,,Cho thuê căn hộ,"Phòng mới xây, phù hợp sinh viên. Có ban công nhỏ.",Mr. Nam,0967890123,21.005,105.843,https://www.chotot.com/678901.htm,['https://images.chotot.com/studio_hanoi.jpg'],"{'rooms': 1, 'floor': 2, 'furniture': 'none', 'balcony': True, 'air_conditioning': False}",2024-03-11T23:33:20,1,,2,False,none,,True,,,,,,studio
789012,Duplex 4PN Saigon Pearl Bình Thạnh,35000000,160,"Bình Thạnh, TP. Hồ Chí Minh",TP. Hồ Chí Minh,Bình Thạnh,,Cho thuê căn hộ,"Duplex cao cấp 4PN, view sông panorama, nội thất sang trọng.",Mr. Khoa,0923456789,10.795,106.719,https://www.chotot.com/789012.htm,"['https://images.chotot.com/duplex_1.jpg', 'https://images.chotot.com/duplex_2.jpg', 'https://images.chotot.com/duplex_3.jpg', 'https://images.chotot.com/duplex_4.jpg', 'https://images.chotot.com/duplex_5.jpg']","{'rooms': 4, 'bathrooms': 3, 'floor': 25, 'furniture': 'full', 'building_name': 'Saigon Pearl', 'apartment_type': 'duplex', 'balcony': True, 'parking': True, 'elevator': True, 'air_conditioning': True, 'direction': 'North', 'pets_allowed': True}",2024-03-12T13:26:40,4,3,25,True,full,Saigon Pearl,True,True,True,True,True,North,duplex
890123,Căn hộ 2PN giá tốt Ngũ Hành Sơn,8000000,65,"Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Ngũ Hành Sơn,,Cho thuê căn hộ,"Gần biển Mỹ Khê, có sân phơi riêng. Chung cư mới xây.",Ms. Mai,0934567890,16.029,108.251,https://www.chotot.com/890123.htm,"['https://images.chotot.com/danang_nhs_1.jpg', 'https://images.chotot.com/danang_nhs_2.jpg']","{'rooms': 2, 'bathrooms': 1, 'floor': 7, 'furniture': 'partial', 'balcony': True, 'parking': True, 'elevator': True, 'air_conditioning': True}",2024-03-13T03:20:00,2,1,7,False,partial,,True,True,True,,True,,
901234,Penthouse 5PN Vinhomes Central Park,85000000,250,"Bình Thạnh, TP. Hồ Chí Minh",TP. Hồ Chí Minh,Bình Thạnh,,Cho thuê căn hộ,"Penthouse đỉnh cao sang trọng, sân vườn riêng, view thành phố 360°. Nội thất nhập khẩu Ý.",Mr. Phong,0945678901,10.789,106.721,https://www.chotot.com/901234.htm,"['https://images.chotot.com/penthouse_1.jpg', 'https://images.chotot.com/penthouse_2.jpg', 'https://images.chotot.com/penthouse_3.jpg', 'https://images.chotot.com/penthouse_4.jpg', 'https://images.chotot.com/penthouse_5.jpg', 'https://images.chotot.com/penthouse_6.jpg']","{'rooms': 5, 'bathrooms': 4, 'floor': 36, 'furniture': 'full', 'building_name': 'Vinhomes Central Park', 'apartment_type': 'penthouse', 'balcony': True, 'parking': True, 'elevator': True, 'air_conditioning': True, 'direction': 'South', 'pets_allowed': True}",2024-03-13T17:13:20,5,4,36,True,full,Vinhomes Central Park,True,True,True,True,True,South,penthouse
112233,Căn hộ 1PN The Manor Mỹ Đình,9000000,55,"Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,,Cho thuê căn hộ,"Căn hộ cao cấp tại The Manor, gần Keangnam. Tiện ích đầy đủ.",Ms. Hoa,0956789012,21.018,105.78,https://www.chotot.com/112233.htm,"['https://images.chotot.com/manor_1.jpg', 'https://images.chotot.com/manor_2.jpg']","{'rooms': 1, 'bathrooms': 1, 'floor': 15, 'furniture': 'full', 'building_name': 'The Manor', 'balcony': True, 'parking': True, 'elevator': True, 'air_conditioning': True, 'direction': 'West'}",2024-03-14T07:06:40,1,1,15,True,full,The Manor,True,True,True,,True,West,
